zoom start	name	longfrom	shortname	longitude	latitude	label_z3	label_z4	label_z5	label_z6	label_z7	population	point size	font size	font file
3	Brazil	3	Braz.	-52.991373	-11.284556	Brazil	Brazil	Brazil	Brazil	Brazil	100	8	13	../fonts/Arial-Regular.ttf
3	Canada	3	Can.	-99.445841	53.324635	Canada	Canada	Canada	Canada	Canada	100	8	13	../fonts/Arial-Regular.ttf
3	Cuba	3	Cuba	-78.975045	21.7731	Cuba	Cuba	Cuba	Cuba	Cuba	100	8	13	../fonts/Arial-Regular.ttf
3	Greenland	3	Green.	-41.185694	77.472218	Greenland	Greenland	Greenland	Greenland	Greenland	100	8	13	../fonts/Arial-Regular.ttf
3	Mexico	3	Mex.	-102.755809	24.32175	Mexico	Mexico	Mexico	Mexico	Mexico	100	8	13	../fonts/Arial-Regular.ttf
3	Russia	3	Russia	56.610343	60.439536	Russia	Russia	Russia	Russia	Russia	100	8	13	../fonts/Arial-Regular.ttf
3	Svalbard	3	Svalbard	16.179526	78.960458	Svalbard	Svalbard	Svalbard	Svalbard	Svalbard	100	8	13	../fonts/Arial-Regular.ttf
3	Ukraine	3	Ukr.	31.330052	49.244631	Ukraine	Ukraine	Ukraine	Ukraine	Ukraine	100	8	13	../fonts/Arial-Regular.ttf
3	United States of America	3	U.S.	-99.088838	39.632202	United States of America	United States of America	United States of America	United States of America	United States of America	100	8	13	../fonts/Arial-Regular.ttf
3	Argentina	4	Arg.	-64.523844	-36.433525	Arg.	Argentina	Argentina	Argentina	Argentina	90	8	13	../fonts/Arial-Regular.ttf
3	Austria	4	Aus.	14.501953	47.470876	Aus.	Austria	Austria	Austria	Austria	90	8	13	../fonts/Arial-Regular.ttf
3	Belarus	4	Bela.	28.125	53.357458	Bela.	Belarus	Belarus	Belarus	Belarus	90	8	13	../fonts/Arial-Regular.ttf
3	Bolivia	4	Bol.	-64.635481	-16.903525	Bol.	Bolivia	Bolivia	Bolivia	Bolivia	90	8	13	../fonts/Arial-Regular.ttf
3	Colombia	4	Col.	-73.079945	3.974928	Col.	Colombia	Colombia	Colombia	Colombia	90	8	13	../fonts/Arial-Regular.ttf
3	Finland	4	Fin.	26.385624	62.590251	Fin.	Finland	Finland	Finland	Finland	90	8	13	../fonts/Arial-Regular.ttf
3	France	4	Fr.	2.333861	46.919537	Fr.	France	France	France	France	90	8	13	../fonts/Arial-Regular.ttf
3	Greece	4	Grc.	22.060547	39.523009	Grc.	Greece	Greece	Greece	Greece	90	8	13	../fonts/Arial-Regular.ttf
3	Hungary	4	Hung.	19.423828	47.082079	Hung.	Hungary	Hungary	Hungary	Hungary	90	8	13	../fonts/Arial-Regular.ttf
3	Iceland	4	Ice.	-18.759842	65.250435	Ice.	Iceland	Iceland	Iceland	Iceland	90	8	13	../fonts/Arial-Regular.ttf
3	Italy	4	Italy	12.292057	43.25535	Italy	Italy	Italy	Italy	Italy	90	8	13	../fonts/Arial-Regular.ttf
3	Norway	4	Nor.	8.55407	61.335551	Nor.	Norway	Norway	Norway	Norway	90	8	13	../fonts/Arial-Regular.ttf
3	Poland	4	Pol.	19.295074	52.397008	Pol.	Poland	Poland	Poland	Poland	90	8	13	../fonts/Arial-Regular.ttf
3	Romania	4	Rom.	24.9378	46.083901	Rom.	Romania	Romania	Romania	Romania	90	8	13	../fonts/Arial-Regular.ttf
3	Serbia	4	Serb.	20.624996	44.084998	Serb.	Serbia	Serbia	Serbia	Serbia	90	8	13	../fonts/Arial-Regular.ttf
3	Spain	4	Spain	-3.735352	39.420832	Spain	Spain	Spain	Spain	Spain	90	8	13	../fonts/Arial-Regular.ttf
3	Sweden	4	Swe.	15.267351	62.683688	Swe.	Sweden	Sweden	Sweden	Sweden	90	8	13	../fonts/Arial-Regular.ttf
3	Venezuela	4	Ven.	-66.169204	7.228701	Ven.	Venezuela	Venezuela	Venezuela	Venezuela	90	8	13	../fonts/Arial-Regular.ttf
3	Croatia	5	Cro.	15.46875	45.528995	Cro.	Cro.	Croatia	Croatia	Croatia	80	8	13	../fonts/Arial-Regular.ttf
3	Czech Republic	5	Czech Rep.	15.336914	49.885678	Czech Rep.	Czech Rep.	Czech Republic	Czech Republic	Czech Republic	80	8	13	../fonts/Arial-Regular.ttf
3	Denmark	5	Den.	10.107422	55.831715	Den.	Den.	Denmark	Denmark	Denmark	80	8	13	../fonts/Arial-Regular.ttf
3	Ecuador	5	Ec.	-78.384468	-1.466038	Ec.	Ec.	Ecuador	Ecuador	Ecuador	80	8	13	../fonts/Arial-Regular.ttf
3	Honduras	5	Hond.	-86.588713	14.921216	Hond.	Hond.	Honduras	Honduras	Honduras	80	8	13	../fonts/Arial-Regular.ttf
3	Ireland	5	Ire.	-8.008237	53.386754	Ire.	Ire.	Ireland	Ireland	Ireland	80	8	13	../fonts/Arial-Regular.ttf
3	Jamaica	5	Jam.	-77.324399	18.252087	Jam.	Jam.	Jamaica	Jamaica	Jamaica	80	8	13	../fonts/Arial-Regular.ttf
3	Panama	5	Pan.	-80.109338	8.587807	Pan.	Pan.	Panama	Panama	Panama	80	8	13	../fonts/Arial-Regular.ttf
3	Paraguay	5	Para.	-58.365502	-23.437457	Para.	Para.	Paraguay	Paraguay	Paraguay	80	8	13	../fonts/Arial-Regular.ttf
3	Portugal	5	Port.	-7.910156	40.737312	Port.	Port.	Portugal	Portugal	Portugal	80	8	13	../fonts/Arial-Regular.ttf
3	United Kingdom	5	U.K.	-1.557089	52.191049	U.K.	U.K.	United Kingdom	United Kingdom	United Kingdom	80	8	13	../fonts/Arial-Regular.ttf
3	Uruguay	5	Ur.	-55.999949	-32.978201	Ur.	Ur.	Uruguay	Uruguay	Uruguay	80	8	13	../fonts/Arial-Regular.ttf
3	Afghanistan	6	Afg.	66.128257	34.115088	Afg.	Afg.	Afghanistan	Afghanistan	Afghanistan	70	8	13	../fonts/Arial-Regular.ttf
3	Albania	6	Alb.	20.031538	41.344486	Alb.	Alb.	Alb.	Albania	Albania	70	8	13	../fonts/Arial-Regular.ttf
3	Algeria	6	Alg.	2.596607	28.611316	Alg.	Alg.	Alg.	Algeria	Algeria	70	8	13	../fonts/Arial-Regular.ttf
3	Angola	6	Ang.	17.504889	-12.428118	Ang.	Ang.	Ang.	Angola	Angola	70	8	13	../fonts/Arial-Regular.ttf
3	Antarctica	6	Ant.	0.844034	-78.606939	Ant.	Ant.	Ant.	Antarctica	Antarctica	70	8	13	../fonts/Arial-Regular.ttf
3	Armenia	6	Arm.	44.995361	40.414123	Arm.	Arm.	Arm.	Armenia	Armenia	70	8	13	../fonts/Arial-Regular.ttf
3	Australia	6	Austl.	134.465275	-26.164774	Austl.	Austl.	Austl.	Australia	Australia	70	8	13	../fonts/Arial-Regular.ttf
3	Azerbaijan	6	Azer.	47.677586	40.48303	Azer.	Azer.	Azer.	Azerbaijan	Azerbaijan	70	8	13	../fonts/Arial-Regular.ttf
3	Bangladesh	6	Bngl.	90.263701	23.997689	Bngl.	Bngl.	Bngl.	Bangladesh	Bangladesh	70	8	13	../fonts/Arial-Regular.ttf
3	Belgium	6	Bel.	4.577789	50.846524	Bel.	Bel.	Bel.	Belgium	Belgium	70	8	13	../fonts/Arial-Regular.ttf
